Node_1_Ortholog_group_ID,Node2_Ortholog_group_ID,Layer,S_typhi_strain_CT18_EIP,S_choleraesuis_SC_B67_EIP,S_dublin_CT_02021853_EIP,S_gallinarum_287/91_EIP,S_paratyphi_A_ATCC_9150_EIP,S_agona_SL483_GIP,S_enteritidis_P125109_GIP,S_heidelberg_SL476_GIP,S_newport_SL254_GIP,S_typhimurium_LT2_GIP,S_typhimurium_SL1344_GIP
554,2042,Metabolic,1,1,1,1,1,1,1,1,1,1,1
554,450,Metabolic,1,1,1,1,1,1,1,1,1,1,1
559,811,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,2489,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,1686,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,3308,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,2181,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,679,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,36,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,255,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,1894,Metabolic,1,1,1,1,1,1,1,1,1,1,1
561,2898,Metabolic,1,1,1,1,1,1,1,1,1,1,1
563,2471,Metabolic,1,1,1,1,1,1,1,1,1,1,1
564,916,Metabolic,1,1,1,1,1,1,1,1,1,1,1
564,3198,Metabolic,1,1,1,1,1,1,1,1,1,1,1
568,3652,Metabolic,1,1,1,1,1,1,1,1,1,1,1
568,798,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,439,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,731,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,1041,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,3846,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,3490,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,2034,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,2936,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,1329,Metabolic,1,1,1,1,1,1,1,1,1,1,1
572,120,Metabolic,1,1,1,1,1,1,1,1,1,1,1
574,1820,Metabolic,1,1,1,1,1,1,1,1,1,1,1
574,70,Metabolic,1,1,1,1,1,1,1,1,1,1,1
574,2617,Metabolic,1,1,1,1,1,1,1,1,1,1,1
574,3311,Metabolic,1,1,1,1,1,1,1,1,1,1,1
574,1712,Metabolic,1,1,1,1,1,1,1,1,1,1,1
588,4103,Metabolic,1,1,1,1,1,1,1,1,1,1,1
590,3509,Metabolic,1,1,1,1,1,1,1,1,1,1,1
590,1374,Metabolic,1,1,1,1,1,1,1,1,1,1,1
593,2538,Metabolic,1,1,1,1,1,1,1,1,1,1,1
601,2939,Metabolic,1,1,1,1,1,1,1,1,1,1,1
602,1226,Metabolic,1,1,1,1,1,1,1,1,1,1,1
602,126,Metabolic,1,1,1,1,1,1,1,1,1,1,1
602,376,Metabolic,1,1,1,1,1,1,1,1,1,1,1
602,2222,Metabolic,1,1,1,1,1,1,1,1,1,1,1
602,4039,Metabolic,1,1,1,1,1,1,1,1,1,1,1
604,2449,Metabolic,1,1,1,1,1,1,1,1,1,1,1
606,2030,Metabolic,1,1,1,1,1,1,1,1,1,1,1
614,2502,Metabolic,1,1,1,1,1,1,1,1,1,1,1
614,3447,Metabolic,1,1,1,1,1,1,1,1,1,1,1
614,1320,Metabolic,1,1,1,1,1,1,1,1,1,1,1
614,1790,Metabolic,1,1,1,1,1,1,1,1,1,1,1
614,2449,Metabolic,1,1,1,1,1,1,1,1,1,1,1
616,2568,Metabolic,1,1,1,1,1,1,1,1,1,1,1
631,3144,Metabolic,1,1,1,1,1,1,1,1,1,1,1
631,602,Metabolic,1,1,1,1,1,1,1,1,1,1,1
631,1226,Metabolic,1,1,1,1,1,1,1,1,1,1,1
631,126,Metabolic,1,1,1,1,1,1,1,1,1,1,1
631,376,Metabolic,1,1,1,1,1,1,1,1,1,1,1
631,2222,Metabolic,1,1,1,1,1,1,1,1,1,1,1
631,4039,Metabolic,1,1,1,1,1,1,1,1,1,1,1
631,2290,Metabolic,1,1,1,1,1,1,1,1,1,1,1
636,2702,Metabolic,1,1,1,1,1,1,1,1,1,1,1
636,2871,Metabolic,1,1,1,1,1,1,1,1,1,1,1
643,884,Metabolic,1,1,1,1,1,1,1,1,1,1,1
654,106,Metabolic,1,1,1,1,1,1,1,1,1,1,1
654,1109,Metabolic,1,1,1,1,1,1,1,1,1,1,1
654,2887,Metabolic,1,1,1,1,1,1,1,1,1,1,1
661,1909,Metabolic,1,1,1,1,1,1,1,1,1,1,1
661,2855,Metabolic,1,1,1,1,1,1,1,1,1,1,1
664,309,Metabolic,1,1,1,1,1,1,1,1,1,1,1
664,2037,Metabolic,1,1,1,1,1,1,1,1,1,1,1
666,3343,Metabolic,1,1,1,1,1,1,1,1,1,1,1
666,2818,Metabolic,1,1,1,1,1,1,1,1,1,1,1
666,3194,Metabolic,1,1,1,1,1,1,1,1,1,1,1
666,2601,Metabolic,1,1,1,1,1,1,1,1,1,1,1
666,3635,Metabolic,1,1,1,1,1,1,1,1,1,1,1
666,877,Metabolic,1,1,1,1,1,1,1,1,1,1,1
666,206,Metabolic,1,1,1,1,1,1,1,1,1,1,1
671,403,Metabolic,1,1,1,1,1,1,1,1,1,1,1
671,1294,Metabolic,1,1,1,1,1,1,1,1,1,1,1
673,3658,Metabolic,1,1,1,1,1,1,1,1,1,1,1
673,2714,Metabolic,1,1,1,1,1,1,1,1,1,1,1
674,1262,Metabolic,1,1,1,1,1,1,1,1,1,1,1
676,1192,Metabolic,1,1,1,1,1,1,1,1,1,1,1
676,2897,Metabolic,1,1,1,1,1,1,1,1,1,1,1
676,1110,Metabolic,1,1,1,1,1,1,1,1,1,1,1
700,1729,Metabolic,1,1,1,1,1,1,1,1,1,1,1
700,1506,Metabolic,1,1,1,1,1,1,1,1,1,1,1
700,207,Metabolic,1,1,1,1,1,1,1,1,1,1,1
