;;;;S typhi strain CT18;S choleraesuis SC B67;S dublin CT 02021853;S gallinarum 287/91;S paratyphi A ATCC 9150;S agona SL483;S enteritidis P125109;S heidelberg SL476;S newport SL254;S typhimurium LT2;S typhimurium SL1344
Layer;Node 1 Ortholog group ID;Node 2 Ortholog group ID;Layer;EIP;EIP;EIP;EIP;EIP;GIP;GIP;GIP;GIP;GIP;GIP
PPI;440;212;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;451;2696;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;452;1852;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;453;2484;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;454;381;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;459;2443;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;464;1130;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;465;3402;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;466;1109;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;472;3663;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;1344;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;3288;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;796;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;1259;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;1323;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;2249;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;473;644;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;474;2959;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;484;1265;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;488;947;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;511;2959;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;519;4235;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;530;1667;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;532;3487;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;535;147;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;535;2484;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;536;2818;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;536;1273;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;537;298;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;540;1574;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;543;1348;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;543;1322;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;543;3202;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;543;2114;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;543;3144;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;543;420;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;543;2437;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;546;1622;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;546;1362;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;552;1011;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;552;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;556;159;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;556;2803;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;559;2180;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;565;3987;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;565;2074;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;567;3171;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;568;2795;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;574;2601;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;577;102;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;581;3654;PPI;1;1;1;1;1;1;1;1;1;1;1
PPI;581;3710;PPI;1;1;1;1;1;1;1;1;1;1;1
