source;target;ref;layer
B5EXQ9;B5F053;STM;Metabolic
B5EXQ9;B5F054;STM;Metabolic
B5EXR0;B5EXR1;BioModels;Metabolic
B5EXR0;B5F0K4;STM;Metabolic
B5EXR2;B5EXQ9;STM;Metabolic
B5EXR2;B5EXS3;STM;Metabolic
B5EXR2;B5EXT0;STM;Metabolic
B5EXR3;B5EXR1;STM;Metabolic
B5EXR3;B5EXR2;STM;Metabolic
B5EXR3;B5EXT2;STM;Metabolic
B5EXR4;B5EXR3;STM;Metabolic
B5EXR4;B5EXR6;STM;Metabolic
B5EXR5;B5EXR4;STM;Metabolic
B5EXR6;B5EXR7;STM_BioModels;Metabolic
B5EXR6;B5EXS0;STM_BioModels;Metabolic
B5EXR7;B5EXR8;STM;Metabolic
B5EXR7;B5EXS0;STM;Metabolic
B5EXR8;B5EXR9;STM_BioModels;Metabolic
B5EXS0;B5EXR8;STM;Metabolic
B5EXS1;B5EXS4;STM_BioModels;Metabolic
B5EXS1;B5EZ47;STM_BioModels;Metabolic
B5EXS2;B5EXN0;STM;Metabolic
B5EXS2;B5F1A1;STM;Metabolic
B5EXS3;B5EXS1;STM;Metabolic
B5EXS4;B5EXS2;STM_BioModels;Metabolic
B5EXS4;B5EZ47;STM;Metabolic
B5EXS8;B5EYN8;STM;Metabolic
B5EXS8;B5EYP0;STM;Metabolic
B5EXS8;B5F2H5;STM;Metabolic
B5EXS8;B5F5L6;STM;Metabolic
B5EXT0;B5F053;STM;Metabolic
B5EXT0;B5F054;STM;Metabolic
B5EXT1;B5EXR0;STM;Metabolic
B5EXT1;B5EXR1;BioModels;Metabolic
B5EXT1;B5F0K4;STM;Metabolic
B5EXT2;B5EXR1;STM;Metabolic
B5EXT2;B5F0K4;STM;Metabolic
B5EXT4;B5EXR1;STM;Metabolic
B5EXT4;B5EXT2;STM;Metabolic
B5EXT5;B5EXT6;STM;Metabolic
B5EXT6;B5EXR1;STM_BioModels;Metabolic
B5EXT6;B5EXT2;STM;Metabolic
B5EXY5;B5EXJ7;STM;Metabolic
B5EXY5;B5F0G4;STM;Metabolic
B5EXY5;B5F1H7;STM_BioModels;Metabolic
B5EXY5;B5F8B8;STM;Metabolic
B5EXY6;B5F1H3;BioModels;Metabolic
B5EY02;B5EY04;STM;Metabolic
B5EY02;B5EY05;STM;Metabolic
B5EY04;B5EY05;STM;Metabolic
B5EY06;B5F0D6;BioModels;Metabolic
B5EY06;B5F9I4;BioModels;Metabolic
B5EY06;B5F9I6;BioModels;Metabolic
B5EY07;B5EXA6;STM;Metabolic
B5EY07;B5F5C8;STM;Metabolic
B5EY07;B5F8X0;STM_BioModels;Metabolic
B5EY09;B5F4P1;STM;Metabolic
B5EY09;B5F7X2;STM;Metabolic
B5EY10;B5F0W7;BioModels;Metabolic
B5EY10;B5F7S1;BioModels;Metabolic
B5EY16;B5EXF3;STM;Metabolic
B5EY16;B5F1T2;STM;Metabolic
B5EY37;B5EY37;STM;Metabolic
B5EY37;B5F442;STM;Metabolic
B5EY37;B5F895;STM;Metabolic
B5EY37;B5F896;STM;Metabolic
B5EY37;B5F897;STM;Metabolic
B5EY56;B5F0G0;STM;Metabolic
B5EY56;B5F0G1;STM;Metabolic
B5EY57;B5EY56;STM;Metabolic
B5EY57;B5F0G0;STM;Metabolic
B5EY57;B5F0G1;STM;Metabolic
B5EY57;B5F6R3;STM;Metabolic
B5EY57;B5F6R4;STM_Biomodels;Metabolic
B5EY58;B5EY56;STM;Metabolic
B5EY58;B5EY57;STM;Metabolic
B5EY58;B5F0G0;STM;Metabolic
B5EY58;B5F0G1;STM;Metabolic
B5EY58;B5F6R2;STM;Metabolic
B5EY58;B5F6R3;STM;Metabolic
B5EY58;B5F6R4;STM_Biomodels;Metabolic
B5EY61;B5F1T2;STM;Metabolic
B5EY66;B5F1T2;STM;Metabolic
B5EY67;B5EY66;STM;Metabolic
B5EY67;B5F4S2;STM;Metabolic
B5EY67;B5F526;BioModels;Metabolic
B5EY69;B5EY70;STM;Metabolic
B5EY69;B5EZ25;STM;Metabolic
B5EY69;B5EZ26;STM;Metabolic
B5EY70;B5EZ25;STM;Metabolic
B5EY70;B5EZ26;STM;Metabolic
B5EY75;B5F3C4;STM;Metabolic
B5EY98;B5F1T2;STM;Metabolic
B5EY99;B5EY98;STM;Metabolic
B5EY99;B5F1T2;STM;Metabolic
B5EYB6;B5EYC6;BioModels;Metabolic
B5EYB6;B5EYC7;STM;Metabolic
B5EYB6;B5EYC8;BioModels;Metabolic
B5EYB9;B5F1D2;BioModels;Metabolic
B5EYC0;B5EYB8;STM_BioModels;Metabolic
B5EYC0;B5EYB9;STM_BioModels;Metabolic
B5EYC0;B5F3Z4;STM_BioModels;Metabolic
B5EYC0;B5F6Q4;STM;Metabolic
B5EYC0;B5F6Q5;STM;Metabolic
B5EYC2;B5F1T2;STM;Metabolic
B5EYC3;B5EYC2;STM;Metabolic
B5EYC3;B5F1U2;BioModels;Metabolic
B5EYC6;B5EYC7;BioModels;Metabolic
B5EYC7;B5EYC3;STM_BioModels;Metabolic
B5EYC7;B5F3H4;STM_BioModels;Metabolic
B5EYC8;B5EYC7;STM;Metabolic
B5EYD2;B5F452;STM;Metabolic
B5EYD3;B5EYD4;BioModels;Metabolic
B5EYD3;B5F0P9;STM;Metabolic
B5EYD3;B5F175;STM;Metabolic
B5EYD3;B5F820;STM;Metabolic
B5EYD4;B5F0L3;BioModels;Metabolic
B5EYD5;B5F8U0;STM_BioModels;Metabolic
B5EYE2;B5F5I7;BioModels;Metabolic
B5EYG5;B5F1T2;STM;Metabolic
B5EYG5;B5F7Y8;STM;Metabolic
B5EYG9;B5F0Z3;BioModels;Metabolic
B5EYG9;B5F6L1;BioModels;Metabolic
B5EYH6;B5F300;STM;Metabolic
B5EYH6;B5F4L3;STM;Metabolic
B5EYH6;B5F646;STM;Metabolic
B5EYH6;B5F647;STM;Metabolic
B5EYH7;B5EYI2;STM;Metabolic
B5EYH7;B5EYI3;STM;Metabolic
B5EYH7;B5EYI5;STM;Metabolic
B5EYH7;B5EZV7;STM;Metabolic
B5EYH7;B5F430;STM;Metabolic
B5EYH7;B5F431;STM;Metabolic
B5EYI0;B5EZ51;STM;Metabolic
B5EYI2;B5F2Z9;STM;Metabolic
B5EYI2;B5F300;STM;Metabolic
B5EYI3;B5EYI2;STM;Metabolic
B5EYI3;B5F2Z9;STM;Metabolic
B5EYI3;B5F300;STM;Metabolic
B5EYI4;B5EYH7;STM;Metabolic
B5EYI5;B5EYI2;STM;Metabolic
B5EYI5;B5EYI3;STM;Metabolic
B5EYI5;B5F2Z9;STM;Metabolic
B5EYI5;B5F300;STM;Metabolic
B5EYI6;B5EZI9;STM;Metabolic
B5EYI6;B5EZR6;STM;Metabolic
B5EYI7;B5EXP9;STM;Metabolic
B5EYI7;B5EYI9;STM;Metabolic
B5EYI7;B5EZS2;STM;Metabolic
B5EYI7;B5EZT4;STM;Metabolic
B5EYI7;B5F1T2;STM;Metabolic
B5EYI8;B5EYI6;STM_BioModels;Metabolic
B5EYI8;B5EZI9;STM_BioModels;Metabolic
B5EYI9;B5EYI8;STM;Metabolic
B5EYJ9;B5EWT6;STM;Metabolic
B5EYJ9;B5EZ41;STM;Metabolic
B5EYJ9;B5F230;STM;Metabolic
B5EYL1;B5EYL0;STM;Metabolic
B5EYL1;B5EYL2;STM;Metabolic
B5EYL1;B5EYL3;STM;Metabolic
B5EYL1;B5F739;STM;Metabolic
B5EYL1;B5F740;STM;Metabolic
B5EYL1;B5F741;STM;Metabolic
B5EYL2;B5EYL0;STM;Metabolic
B5EYL2;B5EYL3;STM;Metabolic
B5EYL2;B5F739;STM;Metabolic
B5EYL2;B5F740;STM;Metabolic
B5EYL2;B5F741;STM;Metabolic
B5EYL3;B5EYL0;STM;Metabolic
B5EYL3;B5F739;STM;Metabolic
B5EYL3;B5F740;STM;Metabolic
B5EYL3;B5F741;STM;Metabolic
B5EYL8;B5F2K5;STM;Metabolic
B5EYL8;B5F9G5;STM;Metabolic
B5EYM8;B5EYM7;BioModels;Metabolic
B5EYN3;B5EXV0;BioModels;Metabolic
B5EYN3;B5F0E2;STM;Metabolic
B5EYN3;B5F0E9;STM;Metabolic
B5EYN3;B5F5N9;STM;Metabolic
B5EYP0;B5EYN8;STM;Metabolic
B5EYP3;B5F432;BioModels;Metabolic
B5EYP4;B5F5E8;STM;Metabolic
B5EYP9;B5EYH6;STM;Metabolic
B5EYP9;B5F300;STM;Metabolic
B5EYP9;B5F4L3;STM;Metabolic
